I,chi_eff_true,chi_eff_H1,chi_eff_H0
1.8212424849699398,-1.5972711830832367,3.31888803025317,-2.595987748030808
1.8276553106212425,-1.6367387608626487,3.3035004425821803,-2.634671384680658
1.834068136272545,-1.676339491068255,3.2879885790578705,-2.6734677522567445
1.8404809619238478,-1.7160726759554166,3.2723530909099026,-2.7123762600270744
1.8468937875751503,-1.7559376238521551,3.256594623700117,-2.751396322400943
1.8533066132264528,-1.7959336490854056,3.2407138173913523,-2.790527358866516
1.8597194388777556,-1.8360600719084488,3.224711306415184,-2.8297687939293716
1.8661322645290581,-1.876316218429416,3.208587719738663,-2.869120057052001
1.8725450901803606,-1.91670142054096,3.1923436809299197,-2.9085805825942437
1.8789579158316634,-1.9572150158509771,3.1759798082228556,-2.948149809754618
1.885370741482966,-1.997856347614352,3.1594967145808326,-2.9878271825126
1.8917835671342684,-2.0386247646658404,3.142895007759332,-3.0276121495717234
1.8981963927855712,-2.079519621353917,3.1261752903676907,-3.0675041643035996
1.9046092184368737,-2.120540277475598,3.1093381599299192,-3.107502684692765
1.9110220440881764,-2.1616860982123143,3.092384208944562,-3.1476071732823563
1.917434869739479,-2.2029564540667153,3.0753140249436903,-3.1878170971206146
1.9238476953907815,-2.2443507208004476,3.0581281905509705,-3.2281319277082154
1.9302605210420842,-2.2858682793728136,3.0408272835389027,-3.268551140946318
1.9366733466933868,-2.3275085158804387,3.023411876885149,-3.309074217085513
1.9430861723446893,-2.3692708214977216,3.0058825388281036,-3.3497006406753727
1.949498997995992,-2.411154592418292,2.988239832921547,-3.390429900514917
1.9559118236472945,-2.45315922979718,2.9704843180885767,-3.4312614896036457
1.9623246492985973,-2.49528413969405,2.9526165486746763,-3.472194905093435
1.9687374749498998,-2.537528733017041,2.9346370745000314,-3.5132296482410794
1.9751503006012023,-2.579892425467577,2.9165464409111017,-3.5543652243614723
1.981563126252505,-2.6223746374859616,2.8983451888313816,-3.5956011427816286
1.9879759519038076,-2.664974794197697,2.880033854811508,-3.6369369167951504
1.9943887775551101,-2.707692325360682,2.861612971078536,-3.6783720636176014
2.000801603206413,-2.7505266653130747,2.8430830655846044,-3.7199061043423356
2.0072144288577154,-2.7934772529219813,2.8244446620548267,-3.7615385638970267
2.013627254509018,-2.83654353153284,2.805698280034523,-3.803268971000854
2.0200400801603204,-2.879724948919545,2.7868444349357837,-3.8450968581222824
2.0264529058116234,-2.9230209572352805,2.767883638083365,-3.8870217614373814
2.032865731462926,-2.9664310129640583,2.7488163967598958,-3.92904322078887
2.0392785571142285,-3.0099545768729357,2.7296432142504834,-3.9711607796456008
2.045691382765531,-3.053591113964906,2.710364589886705,-4.0133739850626995
2.0521042084168335,-3.09734009343245,2.6909810190899144,-4.055682387642264
2.0585170340681365,-3.141200988611807,2.671492993413981,-4.098085541494584
2.064929859719439,-3.185173276937739,2.6519010005874613,-4.140583004199925
2.0713426853707415,-3.229256439899089,2.632205524555083,-4.18317433677084
2.077755511022044,-3.2734499629948317,2.6124070455188146,-4.225859103614987
2.0841683366733466,-3.3177533356908313,2.592506039978147,-4.2686368724985115
2.090581162324649,-3.3621660513771445,2.572502980769997,-4.311507214509902
2.096993987975952,-3.4066876073258854,2.5523983371080305,-4.354469704024332
2.1034068136272546,-3.451317504649751,2.532192574621355,-4.3975239186685045
2.109819639278557,-3.496055248261044,2.5118861553927587,-4.440669439286005
2.1162324649298596,-3.5409003468313074,2.491479537996426,-4.483905849903074
2.122645290581162,-3.5858523127514417,2.4709731775351216,-4.527232737694931
2.129058116232465,-3.630910662092461,2.4503675256768105,-4.570649692952436
2.1354709418837676,-3.6760749145666622,2.4296630306909535,-4.614156309049314
2.14188376753507,-3.7213445934894267,2.4088601374840977,-4.65775218240973
2.1482965931863727,-3.766719225741504,2.3879592876351268,-4.7014369124764315
2.154709418837675,-3.8121983417317225,2.3669609194300243,-4.745210101679149
2.161122244488978,-3.8577814753603548,2.345865467896111,-4.78907135540355
2.1675350701402807,-3.9034681639827937,2.324673364835899,-4.833020281960529
2.173947895791583,-3.9492579483738623,2.303385038860437,-4.877056492555965
2.1803607214428857,-3.995150372692528,2.282000915422227,-4.921179601260889
2.1867735470941883,-4.041144984447065,2.2605214168477623,-4.965389224981905
2.1931863727454908,-4.087241334460735,2.238946962369514,-5.009684983432223
2.1995991983967937,-4.133438976837844,2.2172779681576493,-5.0540664991028805
